text	label
5. Can regularly rinsing your nose with saline help prevent infection with the new coronavirus? 	0
4. Can eating garlic help prevent infection with the new coronavirus? COVID19Malaysia 	0
6. Do vaccines against pneumonia protect you against the new coronavirus? 	0
7. Can spraying alcohol or chlorine all over your body kill the new coronavirus? Chamber 	0
8. How effective are thermal scanners in detecting people infected with the new coronavirus? 	0
9. Can an ultraviolet disinfection lamp kill the new coronavirus? 	0
10. Are hand dryers effective in killing the new coronavirus? 	0
11. The new coronavirus CANNOT be transmitted through mosquito bites. 	0
12. Taking a hot bath does not prevent the new coronavirus disease 	0
13. Cold weather and snow CANNOT kill the new coronavirus. 	0
14. COVID-19 virus can be transmitted in areas with hot and humid climates 	0
15. Drinking alcohol does not protect you against COVID-19 and can be dangerous 	0
16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. 	0
17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. 	0
18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) 	0
19. 5G mobile networks DO NOT spread COVID-19 	0
French police chief killed himself after CharlieHebdo attack  	1
Devastating. RT “: French police chief killed himself after CharlieHebdo attack  	1
_gadeCowboy . Nothing to see here. Move along.	1
  it stinkS !!! These whole affaire!!!	1
 And tasked with investigating Charlie Hebdo shooting. But 'obviously' just a strange coincidence. Not like he discovered anything	1
FWIW, his 2nd in command comitted suicide in 2013, &amp; he found the body. So, there's that. :P  	1
"Ohh boy,Here v go Pakistanis already calling it false flag by Eivil JewsMT""@_EretzYisrael::CharlieHebdo "	1
“: French police chief killed himself after CharlieHebdo attack   😳 wtf?	1
 Why?	1
  Yeh sure he did...	1
 _Rants why are you reporting this three days after it happened?	1
,only those cartoonistS are responsible, those were sent to hell,by humiliating norms of Islam and blasphemy of PBUH OF ISLAM.	1
  so horrible.	1
  They killed him how can he kill himself? was shot in the forehead! so taht he doesnt get who's behind it	1
  WHAT YA WANNA BET HE WAS KILLED??????????	1
 _gadeCowboy took it kinda personal I guess, sad	1
  Don't worry...it's all another weird coincidence. No conspiracy here.	1
  such a sad loss 😔may he now RIP	1
 How very sad.	1
  The trauma he must have faced. Very sad.	1
“: French police chief killed himself after CharlieHebdo attack   RIP. Terrible!	1
 oh no... 	1
 we will be very satisfied if NawazSharif resigns. Here they hide the reports which blames them.	1
 horrible!!! Needless. Did Dubya kill himself after 9/11 or just go brain-dead...	1
Coronavirus disease (COVID-19) advice for the public:✳️ Should I wear a mask to protect myself?✳️ How to put on, use, take off and dispose of a mask?✳️ When and how to use masks? 	0
Infection control for suspected or confirmed COVID-19 cases ✳️ WHO recommendations:✳️ CDC recommendations	0
🔘 personal protective equipment (PPE)🔘 N95 Respirators and Surgical Masks (Face Masks)🔘 Surgical Mask vs N95 Respirator 	0
"Ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters. "	0
  I hope this isn't just a prelude to a bigger attack.	0
 Killers go berserk when cornered.  Henceforth, no lapses in security should be there.	0
_nabeel hahaha, you said far more than you think	0
  terrorists in ottawa	0
" when Canadians of all people start shooting, well, ""c'est la fin du monde, non?"""	0
if the primary focus of a government isn't to alleviate suffering/death and promote happiness/wellbeing for its citizens, why do we need it to begin with?	0
10. Are hand dryers effective in killing the new coronavirus? 	0
15. Drinking alcohol does not protect you against COVID-19 and can be dangerous 	0
16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. 	0
17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. 	0
18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) 	0
19. 5G mobile networks DO NOT spread COVID-19 	0
Does the new coronavirus affect older people, or are younger people also susceptible? Covid_19 health 	0
Do vaccines against pneumonia protect you against the new coronavirus? Covid_19 Corona  	0
Are there any specific medicines to prevent or treat the new coronavirus? Covid_19 coronavirus 	0
 _Mongolia _kasai     _JAPAN    _INDIA     _WHO    _MOFA Q: Are antibiotics effective in preventing and treating the new coronavirus (2019-nCoV)?A: No, antibiotics do not work against viruses, only bacteria.The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. 	0
  _Mongolia _kasai     _JAPAN    _INDIA     _WHO    _MOFA Q: Chinese doctors said, we will use HIV drug to treat this virus firstly ! does this useful ? or just trial and error in Chinese treatment methodology ?	0
A memorial for MH17 victims forms near the Netherlands embassy in Kiev:  (Roman Pilipey/EPA) 	1
 RIP	1
 Putin thinks he was the target, and the Ukies shot down the wrong plane. MSNBC   GE $GE	1
_stark Путин убыл её мозг?	1
  U folks didn't deserve this level of tragedy.I'd like 2 offer my condolences to families of the victims	1
 really sad tragic loss	1
Prime Minister Tony Abbott's statement on the SydneySiege. Updates:  	0
 Prime ministers should not have to comment on everything.	0
 	0
“: Prime Minister Tony Abbott's statement on the SydneySiege. Updates:  	0
Plumber suing car dealership for $1M after truck he traded in ends up in hands of ISIS:  	1
 Will US/NATO stop free flow of materiel from Turkey into Sirya? Or will this add to the belief Daesh serves Western interests there?	1
 LOL Too Funny!!!	1
  Makes u wonder who the dealership got the loot from...hum??😕	1
 deck, does that mean the coca cola lorry could soon be seen with missile launchers? Or maybe MacDonalds all day breakfast truck	1
  He used it for those tough clogs	1
 damn this so bad 2 hell with  that car dealership	1
  because a lot of the wholesale dealers are Arabic and the send them back to the Middle East.	1
